WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
23342,dub,Dubli,DUBLI,Dubli,
140449,duc,Duna,DUNA,Duna,
7166,dug,Duruma,DURUMA,Duruma,
23258,duh,Dungari,DUNGRA BHIL,Dungari,
185003,dwk,,DAVIK KUI,,
4633,dwr,Kulo,DAWRO,Kulo,
16084,dyi,Djimini,"SENOUFO, DJIMINI",,
5069,dyo,Fonyi,JOLA-FOGNY,Fonyi,
2104,dyu,Jula,JULA,Jula,
3299,dzg,Daza,DAZA,Daza,
1375,dzo,Dzongkha,DZONGKHA,Dzongkha,
140487,ebo,Boong,TEKE-EBOO,Boong,
7164,ebu,Embu,EMBU,Embu,
2728,efi,Efik,EFIK,Efik,
10252,ego,Mada Eggon,EGGON,Mada Eggon,
184626,eip,Eipo,LIK,Eipo,
53394,eja,Felup,JOLA-FELUPE,,
10248,eka,Kajuk,EKAJUK,Kajuk,
4601,ekk,Wider Estonian,ESTONIAN,,
8434,eko,Koti,KOTI,Koti,
10241,ekr,Ekpari,EKPARI,Ekpari,
483,ell,Modern Greek,GREEK,Modern Greek,
5450,emk,East Maninka,MANINKA,East Maninka,
98137,emp,Sambu,"EMBERA, NORTHERN",Sambu,
98139,emu,Ghotul Muria,"MURIA, EASTERN",Maria,Ghotul Muria
140520,enb,Markwet,MARKWEETA,Markwet,
529,eng,Global English,ENGLISH,,
23156,eng,Native North American,"ENGLISH, NORTH AMERICAN INDIGENOUS",American,Native North American
12200,enq,Mae,ENGA,Mae,
12186,eri,Ogea,OGEA,Ogea,
140434,ese,Eseeha,ESE EJJA,,
147829,esg,Gondi,"GONDI, AHERI",Gondi,
21205,etu,East Ejagham,"EJAGHAM, WESTERN",,
184485,etx,Ten,ITEN,Ten,
23514,eus,Euskara,EUSKERA,Euskara,
5331,ewe,Ewe,EWE,Ewe,
2713,ewo,Ewondo Vehicular,EWONDO,Ewondo Vehicular,
9692,eza,Ezaa,EZAA,Ezaa,
27147,fab,Fa Dambu,FA D'AMBU,Fa Dambu,
24018,fan,Fang,"FANG, EQUATORIAL GUINEA",Fang,
24019,fan,Make,"FANG, GABON",Make,
4455,fao,Faroese,FAROESE,Faroese,
140614,far,Fataleka,FATALEKA,Fataleka,
5183,ffm,Masina,"FULFULDE, MAASINA",Masina,
20665,fij,Fiji,FIJIAN,Fiji,
4820,fin,Finnish,FINNISH,Finnish,
184843,fkk,South Fali,FALI SOUTH,,
