asset_id,media_component_id
A929672443638884,3_0-40DWJ_01-0-0
A930027895260574,1_jf-0-0
A930642158175547,2_Acts7346-0-0
A931398724938118,1_jf6105-0-0
A931726603388558,2_0-Medley
A932610449199817,2_0-Vinyl
A933515832974610,1_jf6109-0-0
A934696628191926,3_0-40DWJ_29-0-0
A934761434796720,1_jf-0-0
A935424861829641,1_jf-0-0
A935638854329244,2_Acts-0-0
A937916247315696,1_jf6105-0-0
A938779212865532,1_jf6107-0-0
A939597764146324,1_jf-0-0
A939808373882595,2_0-JesusBackFromDead
A939906862299572,1_jf-0-0
A940219149177489,1_jf-0-0
A941572804715889,1_jf61??-0-0
A941596025910351,2_Acts-0-0
A941886863133986,3_0-7WDJ-Grace_01-0-0
A942130489969527,1_jf6108-0-0
A942161636302628,2_0-Jangled
A944342512550114,1_jf-0-0
A944344060178211,1_jf-0-0
A947567442749072,1_riv_01-0-0
A950158564438796,1_jf6112-0-0
A950433529979500,1_jf61??-0-0
A950988072354568,2_Acts7323-0-0
A951000280739294,1_jf6101-0-0
A951327676767170,3_0-7WDJ-Grace_01-0-0
A951654889237326,3_IAm1201-0-0
A955153571028641,1_jf-0-0
A956196384372340,2_0-SongOfReeds
A956412276867792,2_Acts7323-0-0
A957159442127924,1_jf-0-0
A959278578501684,3_0-7WDJ-Grace_01-0-0
A959366837059584,1_jf6125-0-0
A961320387320563,3_0-40DWJ_30-0-0
A961733352386624,2_Acts7331-0-0
A962150697607771,1_jf6126-0-0
A962272739706642,2_0-UseThisApp
A962497776605620,1_jf-0-0
A963854734182119,1_jf61??-0-0
A965218328262973,2_Acts7364-0-0
A966220717373309,1_jf-0-0
A966365235450121,2_FileZero12-0-0
A967138509606506,2_0-AndreasStory
A969289217890015,2_Acts7351-0-0
A969365144551319,1_jf6112-0-0
A970328830825452,2_Acts-0-0
A970867688895647,1_riv_04-0-0
A972662978101593,1_jf-0-0
A974156924457762,1_riv_03-0-0
A974804936880633,1_jf61??-0-0
A977228012667414,2_Acts7322-0-0
A977259438075882,1_jf-0-0
A979457982190297,1_jf6112-0-0
A980267473272817,2_0-ComingHome
A980325773408642,1_jf6126-0-0
A982134610483392,1_jf6133-0-0
A986259985762520,2_Acts7329-0-0
A988403397858684,2_Acts-0-0
A989705682370375,2_Acts7348-0-0
A990031941639745,2_Acts7303-0-0
A990628134183699,1_jf-0-0
A990937850750710,2_Acts7308-0-0
A990954406300758,1_jf61??-0-0
A991443714578527,3_0-40DWJ_14-0-0
A992053613613878,1_jf-0-0
A992177013918327,1_jf6122-0-0
A993513339626997,2_Acts-0-0
A994413542375409,1_jf-0-0
A995141207808338,2_Acts7346-0-0
A996767698548550,2_Acts7324-0-0
A998158796668571,1_jf-0-0
